機器番号,名称,動力 (50Hz)_消費電力 (KW),台数
SF-P-1,送 風 機,1.15,1
SF-B2-1,送 風 機,0.54,1
SF-B2-2,送 風 機,0.6,1
SF-B2-3,送 風 機,0.91,1
SF-B2-4,送 風 機,0.535,1
SF-B2-5,送 風 機,0.385,1
SF-B2-6,送 風 機,2.2,3
SF-B2-7,送 風 機,0.385,1
SF-B1-1,送 風 機,0.22,1
SF-B1-2,送 風 機,0.22,1
SF-1-1,送 風 機,0.22,1
SF-1-2,送 風 機,0.535,1
SF-11-1,送 風 機,0.175,1
SF-R-1,送 風 機,2.2,1
SF-R-2,送 風 機,1.5,1
OF-1-1,送 風 機,0.22,1
EF-P-1,排 風 機,0.91,1
EF-B2-1,排 風 機,0.54,1
EF-B2-2,排 風 機,0.54,1
EF-B2-3,排 風 機,0.91,1
EF-B2-4,排 風 機,0.54,1
EF-B2-5,排 風 機,0.116,1
EF-B2-6,排 風 機,2.2,3
EF-B2-7,排 風 機,0.202,1
EF-B1-1,排 風 機,0.145,1
EF-B1-2,排 風 機,0.145,1
EF-1-1,排 風 機,0.0832,1
EF-1-2,排 風 機,0.54,1
EF-10-1,排 風 機,0.75,1
EF-11-1,排 風 機,0.0625,1
EF-R-1,排 風 機,1.5,1
EF-R-2,排 風 機,0.75,1
F-EV-1,排 風 機,0.425,1
F-B1-1,排 風 機,2.2,3
F-B1-2,排 風 機,0.285,1
F-B1-3,排 風 機,0.0625,1
F-1-1,排 風 機,0.078,1
F-1-2,排 風 機,0.074,2
F-1-3,排 風 機,0.0625,1
