換気機器表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
機器番号,,名 称,,,系 統,,,,,,,,,,,仕 / 型 式 番手,,,,,様 / 機器風量 静圧 騒音値,,,,動 力 （50 / 相 消費電力 操,,Hz） / 作 監視 種別,,付属品・その他,,,,,台数,,設置場所 / 階 部 屋 名,,,,,,,,,,,備 考,,,,
,,,,,,,,,,,,,,,,＃,,,,(φ,) m3/h,,,Pa (dB),P-V （KW）,始動 / 方式,,,,,,,,,,,,,,,,,,,,,（参考型番）,,,,
EF-P-1,,,排 風 機,,ﾋ,ﾟｯﾄ,,ディスポーザー処理槽室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,＃2,,"2,200",,280 49,3-200 0.91,LS A,〇,〇,ﾀｲﾏｰSW(ｽｹｼﾞｭｰﾙ間欠運転),,,,,,1,ﾋ,ﾟｯ,ﾄ,ディスポーザー処理槽,,,,,,室,,,BFS-300TUA,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(電気工事),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B2-,1,,排 風 機,,,B2F,,消火ポンプ室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,300φ,,"1,600",,250 44.5,3-200 0.54,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B2F,,消火ポンプ室,,,,,,,,,BFS-210TUG,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B2-,2,,排 風 機,,,B2F,,ガスボンベ庫,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,300φ,,"1,700",,250 44.5,3-200 0.54,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B2F,,ガスボンベ庫,,,,,,,,,BFS-210TUG,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B2-,3,,排 風 機,,,B2F,,東電借室・引込開閉器盤室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,＃2,,"2,600",,250 49,3-200 0.91,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B2F,,東電借室・引込開閉器盤室,,,,,,,,,BFS-300TUA,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B2-,4,,排 風 機,,,B2F,,ゴミ置場,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,300φ,,"1,700",,250 44.5,3-200 0.54,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B2F,,ゴミ置場,,,,,,,,,BFS-210TUG,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B2-,5,,排 風 機,,,B2F,,ＭＲ,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,400,250 32,1-100 0.116,LS A,〇,●,ﾀｲﾏｰSW(電気工事),,,,,,1,,B2F,,ＭＲ,,,,,,,,,BFS-80SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,DSPﾌﾞﾛﾜﾌｧﾝと連動,,,,
EF-B2-,6,,排 風 機,,,B2F,,機械式駐車場,,,,,,,,片吸込ｼﾛｯｺﾌｧﾝ (床置型),,,,#21/2,,"6,000",,350 72,3-200 2.2,LS A,〇,△,ﾀｲﾏｰSW(電気工事),,,,,,3,,B2F,,機械式駐車FR,,,,,,,,,21/2SRM4,,,(エバラ）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,,,,,,,,,,,,,,ｽｹｼﾞｭｰﾙによるﾛｰﾃｰｼｮﾝ運転,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(空調工事）,,,,
EF-B2-,7,,排 風 機,,,B2F,,廊下,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,900,200 37,1-100 0.202,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B2F,,廊下,,,,,,,,,BFS-100SUD,,C,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B1-,1,,排 風 機,,,B1F,,EVホール,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,200,300 34.5,1-100 0.145,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B1F,,EVホール,,,,,,,,,BFS-90SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-B1-,2,,排 風 機,,,B1F,,備蓄倉庫,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,200,350 34.5,1-100 0.145,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B1F,,備蓄倉庫,,,,,,,,,BFS-90SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-1-1,,,排 風 機,,,1F,,ゴミ置場,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,400,200 29.5,1-100 0.0832,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,1F,,ゴミ置場,,,,,,,,,BFS-65SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-1-2,,,排 風 機,,,1F,,駐輪場,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,300φ,,"1,500",,250 44.5,3-200 0.54,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,1F,,駐輪場,,,,,,,,,BFS-210TUG,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-10-,1,,排 風 機,,2,-10,F,ゴミ庫(常時運転),,,,,,,,片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),,,,#1,,"1,220",,300 71.5,3-200 0.75,LS A,〇,〇,INV(電気工事),,,,,,1,,10F,,機器置場,,,,,,,,,1SRM4,,,(エバラ）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-11-,1,,排 風 機,,,11F,,給水ポンプ室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,200,180 29.5,1-100 0.0625,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,11F,,給水ポンプ室,,,,,,,,,BFS-50SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-R-1,,,排 風 機,,2,-16,F,共用廊下･ゴミ庫(日中運転,,,,,,,),片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),,,,#2,,"3,730",,350 72,3-200 1.5,LS A,〇,〇,INV(電気工事),,,,,,1,,PHF,,屋上機器置場,,,,,,,,,2SRM4,,,(エバラ）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
EF-R-2,,,排 風 機,,2,-16,F,ゴミ庫(夜間運転),,,,,,,,片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),,,,#1,,"1,400",,350 64,3-200 0.75,LS A,〇,〇,INV(電気工事),,,,,,1,,PHF,,屋上機器置場,,,,,,,,,1SRM4,,,(エバラ）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
F-EV-1,,,排 風 機,,,PHF,,非常用ＥＶ機械室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,,,,250φ,,"1,800",,250 42.5,3-200 0.425,LS A,〇,△,ｻｰﾓ･ﾀｲﾏｰSW(電気工事),,,,,,1,,PHF,,非常用ＥＶ機械室,,,,,,,,,BFS-180TUG,,2,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
F-B1-1,,,排 風 機,,,B1F,,平置駐車,,,場,,,,,片吸込ｼﾛｯｺﾌｧﾝ (床置型),,,,#2,,"5,300",,350 78,3-200 2.2,LS A,〇,〇,INV(電気工事),,,,,,3,,B1F,,FR・ガス緊急遮断弁室,,,,,,,,,2SRM4,,,(エバラ）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝｸﾞ防振､他一式,,,,,,,,,,,,,,,,,,ﾀｲﾑｽｹｼﾞｭｰﾙ制御を行う,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(空調工事）,,,,
F-B1-2,,,排 風 機,,,B1F,,ＦＲ・ガス緊急遮断弁室,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,250φ,,"1,200",,200 42,1-100 0.285,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B1F,,ＦＲ・ガス緊急遮断弁,,,,,,室,,,BFS-120SUD,,C,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
F-B1-3,,,排 風 機,,,B1F,,汚泥引抜作業用局所排気(車路),,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,200,200 29.5,1-100 0.0625,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,B1F,,FR・ガス緊急遮断弁室,,,,,,,,,BFS-50SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
F-1-1,,,排 風 機,,,1F,,給湯室,,,,,,,,天井扇(低騒音型),,,,150φ,,,200,180 44.5,1-100 0.078,LS A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,,,,,,1,,1F,,給湯室,,,,,,,,,VD-23ZXP13,,,(三菱電機)
F-1-2,,,排 風 機,,,1F,,ＷＣ,,,,,,,,天井扇(低騒音型),,,,150φ,,,100,180 46,1-100 0.074,LS A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,,,,,,2,,1F,,ＷＣ,,,,,,,,,VD-23ZB13,,,(三菱電機)
F-1-3,,,排 風 機,,,1F,,ペット,,,,,,,,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),,,,200φ,,,150,200 29.5,1-100 0.0625,LS A,〇,〇,ﾀｲﾏｰSW(電気工事),,,,,,1,,1F,,ペット,,,,,,,,,BFS-50SUDC,,,(三菱電機)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞﾑ防振､他一式,,,,,,,,,,,,,,,,,,,,,,
